;SK_ID;CELL_LAC_ID
0;2;325641
1;2;135497
2;2;165830
3;2;336528
4;2;293830
5;3;293061
6;3;335156
7;3;56204
8;3;59836
9;3;365459
10;4;335892
11;4;326578
12;4;226270
13;4;111039
14;4;233967
15;5;41213
16;5;173121
17;5;121210
18;5;319377
19;6;299566
20;6;307683
21;6;203381
22;6;313973
23;6;85812
24;7;327515
25;7;354440
26;7;326335
27;7;243745
28;7;211091
29;8;5199
30;8;231755
31;8;247391
32;8;22684
33;8;19670
34;9;161138
35;9;57745
36;9;347347
37;9;76156
38;9;76572
39;10;129632
40;10;246876
41;10;38630
42;10;327953
43;10;52658
44;11;254703
45;11;164398
46;11;187200
47;11;301944
48;11;83521
49;12;173849
50;12;208245
51;12;115345
52;12;57150
53;12;94948
54;13;36584
55;13;100278
56;13;332550
57;13;194866
58;14;241146
59;14;314593
60;14;162624
61;14;8878
62;14;265776
63;15;339847
64;15;32546
65;15;145887
66;15;76730
67;15;205884
68;16;9601
69;16;131538
70;16;98763
71;16;141139
72;16;13388
73;17;187058
74;17;89717
75;17;258597
76;17;347614
77;17;352601
78;18;300180
79;18;49916
80;18;321926
81;18;243933
82;18;347981
83;19;255227
84;19;190631
85;19;87985
86;19;302654
87;19;73615
88;20;236239
89;20;275100
90;20;260273
91;20;94429
92;21;106673
93;21;146271
94;21;9052
95;21;314537
96;21;178380
97;22;130372
98;22;184528
99;22;221084
100;22;59048
101;22;23683
102;23;69511
103;23;343605
104;23;34606
105;23;246889
106;23;101226
107;24;206495
108;24;35802
109;24;63047
110;24;46724
111;24;199277
112;25;86028
113;25;229225
114;25;116885
115;25;129068
116;25;297032
117;26;87199
118;26;25028
119;26;308261
120;26;211534
121;26;182802
122;27;370845
123;27;262141
124;27;218551
125;27;351335
126;28;262931
127;28;63712
128;28;218144
129;28;180023
130;28;174822
131;30;321543
132;30;163647
133;30;350994
134;30;75279
135;30;284549
136;31;104130
137;31;240999
138;31;312704
139;31;301013
140;31;21722
141;33;51513
142;33;269734
143;33;296059
144;33;358800
145;33;15053
146;34;229847
147;34;80114
148;34;321234
149;34;68086
150;34;199896
151;35;120057
152;35;219688
153;35;45919
154;35;11508
155;35;241081
156;36;105156
157;36;83781
158;36;245359
159;36;257069
160;36;197640
161;37;242858
162;37;300385
163;37;350768
164;37;352056
165;37;321608
166;38;6901
167;38;48669
168;38;254936
169;38;299744
170;38;274472
171;39;220183
172;39;287376
173;39;216789
174;39;210118
175;39;12697
176;40;257376
177;40;174331
178;40;50400
179;40;174631
180;40;327041
181;41;45620
182;41;235123
183;41;361202
184;41;133220
185;41;295027
186;42;314873
187;42;140552
188;42;296858
189;42;279147
190;42;75425
191;43;148939
192;43;47288
193;43;92400
194;43;299964
195;43;283696
196;44;4946
197;44;144326
198;44;336529
199;44;67969
200;44;268125
201;45;165643
202;45;137704
203;45;153336
204;45;336071
205;45;248729
206;46;22740
207;46;165574
208;46;197555
209;46;271880
210;46;22520
211;47;278918
212;47;253444
213;47;114980
214;47;343604
215;47;125357
216;48;175664
217;48;197233
218;48;157233
219;48;323044
220;48;12531
221;49;74027
222;49;232308
223;49;3022
224;49;297626
225;49;62089
226;50;168197
227;50;242465
228;51;170892
229;51;147738
230;51;7989
231;51;44850
232;51;355866
233;52;165147
234;52;299964
235;52;190816
236;52;36953
237;52;361496
238;53;144152
239;53;253386
240;53;322609
241;53;275396
242;53;158271
243;54;196885
244;54;38409
245;54;12308
246;54;270796
247;54;239653
248;55;58667
249;55;247669
250;55;29434
251;55;275199
252;55;247730
253;56;371179
254;56;232022
255;56;130554
256;56;229771
257;56;63880
258;57;332697
259;57;352228
260;57;139537
261;57;296307
262;57;185158
263;58;250947
264;58;217709
265;58;181732
266;58;88761
267;58;228070
268;59;341715
269;59;157202
270;59;19774
271;59;310067
272;59;352086
273;60;93278
274;60;250695
275;60;195387
276;60;220409
277;60;298361
278;61;250743
279;61;264950
280;61;295896
281;61;16660
282;61;125069
283;62;346129
284;62;30530
285;62;155650
286;62;42948
287;63;159086
288;63;248544
289;63;242282
290;63;152114
291;63;354910
292;64;160233
293;64;101498
294;64;231532
295;64;261781
296;64;354227
297;65;7614
298;65;4121
299;65;44461
300;65;219362
301;65;237478
302;66;38957
303;66;119975
304;66;370815
305;66;338770
306;66;280061
307;67;310634
308;67;97877
309;67;155168
310;67;94630
311;67;39804
312;68;311119
313;68;10681
314;68;341601
315;68;270200
316;68;32786
317;69;79018
318;69;208090
319;69;174896
320;69;187665
321;69;15594
322;70;172931
323;70;219047
324;70;129060
325;70;14654
326;70;26762
327;71;191781
328;71;45789
329;71;62794
330;71;192265
331;71;118124
332;72;250095
333;72;239948
334;72;104149
335;72;175457
336;73;38719
337;73;174168
338;73;146585
339;73;120805
340;75;131009
341;75;179521
342;75;335584
343;75;206137
344;75;56343
345;76;58204
346;76;82460
347;76;332371
348;76;66005
349;76;250870
350;77;317229
351;77;80100
352;77;14028
353;77;148927
354;77;357259
355;78;65004
356;78;79118
357;78;338102
358;78;42348
359;78;284304
360;79;320072
361;79;294691
362;79;281116
363;79;224558
364;79;74199
365;81;349481
366;81;285459
367;81;14421
368;81;69220
369;81;95595
370;82;94246
371;82;319659
372;82;212298
373;82;23084
374;82;120909
375;83;346019
376;83;243538
377;83;302594
378;83;177207
379;84;74689
380;84;177928
381;84;352763
382;84;260448
383;84;70101
384;85;250132
385;85;14634
386;85;23086
